ID Next,Nombre,EAN,SKU,URL Foto24,URL Photo24,Precio,Marca
FT_000431,Aircell camera lens case M,,M00516,,,10.99,Aircell
FT_000432,Aircell camera lens case L,,M00514,,,12.99,Aircell
FT_000433,Aircell camera lens case XL,,M00515,,,14.99,Aircell
FT_002444,"Kit Filtros Creativos Cokin Snap! 40,5mm",,MI2478,,,33.99,Cokin
FT_002445,Kit Filtros Creativos Cokin Snap! 49mm,,MI2480,,,33.99,Cokin
FT_002446,Kit Filtros Creativos Cokin Snap! 52mm,,MI2481,,,33.99,Cokin
FT_002447,Kit Filtros Creativos Cokin Snap! 37mm,,MI2477,,,33.99,Cokin
FT_002448,Kit Filtros Creativos Cokin Snap! 43mm,,MI2479,,,33.99,Cokin
FT_002624,Genesis Michigan,,M01286,,,37.99,Genesis
FT_002628,Genesis Boston orange,,M00563,,,34.99,Genesis
FT_002870,Genesis Nattai backpack,,M00333,,,37.99,Genesis
FT_003688,Genesis Gear Tacit Bolsa fotográfica L,,M01123,,,41.99,Genesis
FT_003689,Genesis Tacit M gray,,0723342695,,,24.99,Genesis
FT_003690,Genesis Tacit S gray,,0723342694,,,14.99,Genesis
FT_004723,Genesis Tacit L Gray,,0723342696,,,41.99,Genesis
FT_006287,Gloxy GX-TS370 Tripod +3D Head,,DI3287,,,49.99,Gloxy
FT_006722,"Set of 4 Gloxy Lens Cases S,M,L,XL",,0724342819,,,18.99,Gloxy
FT_007596,PhotoBall Gloxy 60mm,,0721725430,,,29.99,Gloxy
FT_007597,PhotoBall Gloxy 80mm,,0721725429,,,39.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 46mm",,Fkit46,,,49.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 52mm",,Fkit52,,,69.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 55mm",,Fkit55,,,69.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 58mm",,Fkit58,,,69.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 62mm",,Fkit62,,,74.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 67mm",,Fkit67,,,64.99,Gloxy
xxx,"Kit de tres filtros ND4, UV, CPL 77mm",,Fkit77,,,89.99,Gloxy
FT_005101,Godox SL-100W Video LED light,,M00125,,,194.99,Godox
FT_005102,Godox SL-150W Video LED light,,M00126,,,244.99,Godox
FT_005215,Godox UB-006 Black and Silver and White Umbrella (84cm),,M00778,,,27.99,Godox
FT_005218,Godox UB-007 Paraguas Dorado y Plateado 101cm,,M00984,,,16.99,Godox
FT_005317,Adaptador AC Godox para AD400PRO,,M00540,,,114.99,Godox
