sku,price
0712001267,19.99
0712001280,4.99
0712001297,239.99
0712116303,149.99
0712152935,119.99
0712163718,14.99
0712179069,39.99
0712179070,39.99
0712179071,39.99
0712179072,39.99
0712179074,39.99
0712179080,54.99
0712179081,54.99
0712179083,54.99
0712179085,54.99
0712179086,54.99
0712179087,54.99
0712509416,19.99
0712518542,4.99
0712550793,199.99
0712607017,9.99
0712608047,9.99
0712691034,27.99
0712710394,119.99
0712837718,9.99
0712901118,2.99
0712951797,119.99
0713043555,579.99
0713043556,579.99
0713043557,579.99
0713043558,379.99
0713043559,379.99
0713043590,379.99
0713104030,34.99
0713104032,499.99
0713105098,25.99
0713105100,9.99
0713106984,239.99
0713107188,16.99
0713107194,37.99
0713107195,26.99
0713107196,24.99
0713107200,64.99
0713107201,41.99
0713107211,179.99
0713215762,4.99
0713278221,24.99
0713278234,24.99
0713278323,69.99
0713278326,69.99
0713278328,69.99
0713278332,69.99
0713278335,64.99
0713280315,27.99
0713280317,34.99
0713280318,14.99
0713280319,16.99
0713280603,29.99
0713365065,49.99
0713464495,595.99
0713464496,595.99
0713464497,444.99
0713464498,444.99
0713464499,444.99
0713464500,595.99
0713622705,209.99
0713623242,119.99
0713623243,119.99
0713623244,119.99
0713623269,29.99
0713630840,159.99
0713630841,159.99
0713630843,159.99
0713630844,159.99
0713631770,37.99
0713631773,24.99
0713632233,39.99
0713632234,24.99
0713632235,39.99
0713632236,29.99
0713633211,119.99
0713633212,119.99
0713726513,54.99
0713786312,34.99
0713869670,99.99
0713904625,49.99
0713988387,129.99
0713990042,1.99
0713990043,2.99
0713990044,2.99
0714329094,26.99
0714561627,31.99
0714561628,34.99
0714561630,45.99
0714764443,49.99
0714884896,1.99
0714884898,1.99
0715009962,249.99
0715788243,69.99
0715788244,69.99
0720364762,11.99
0720364763,11.99
0720364764,11.99
0720364765,11.99
0720364766,11.99
0720364767,11.99
0720364768,11.99
0720364769,11.99
0720364770,11.99
0720364771,11.99
0720364772,8.99
0720364773,3.99
0720364774,123.99
0720364775,123.99
0720365974,109.99
0720365977,115.99
0720365978,115.99
0720365979,115.99
0721725429,29.99
0721725430,22.99
0721725431,4.99
0721725432,9.99
0721725433,19.99
0721916476,475.99
0721916477,475.99
0721916478,475.99
0722066925,4.99
0722066926,4.99
0722066927,4.99
0722066928,4.99
0722259103,69.99
0723342694,11.99
0723342695,19.99
0723342696,33.99
0724342819,14.99
0724342820,6.99
0724342821,6.99
0724342822,6.99
0724342823,6.99
0724342824,6.99
0724342825,6.99
0725162827,49.99
0725439508,29.99
0725466558,119.99
0725467735,269.99
0726539228,9.99
C00011,24.99
C00017,84.99
C00027,107.99
C00028,107.99
