sku,price
0712951797,128.99
0713623242,128.99
0713623243,128.99
0713623244,128.99
M01286,24.99
M01081,39.99
M01083,39.99
0723342694,9.99
0721725429,29.99
0721725430,22.99
M01370,8.99
M01372,8.99
M01374,8.99
M01371,8.99
M00763,52.99
M01039,628.99
M00977,8.99
M01030,29.99
M00039,395.99
M00885,25.59
M00757,32.79
M00892,25.59
M00668,49.99
M00858,34.99
M00714,30.99
M00818,49.99
M00951,1043.99
C00052,22.39
M01193,147.99
M00349,139.99
C00050,11.99
M00671,54.99
M00716,147.99
M00625,11.99
M01306,59.99
M00975,4.99
M00624,12.99
M00808,19.99
M00920,19.99
M00908,44.99
M01155,74.99
M01163,74.99
M01161,74.99
M01169,139.99
M01149,249.99
M01168,139.99
M01124,119.99
M01125,59.99
M01058,58.99
M01132,75.99
M01133,75.99
0714561628,34.99
0714329094,26.99
0713631770,37.99
0714561627,31.99
M00273,86.99
0714561630,45.99
M00645,14.99
M00416,450.39
M00656,303.99
M01284,155.99
M01285,155.99
M01287,155.99
M01297,155.99
M01298,155.99
M00394,63.99
M00397,63.99
M00426,63.99
M00442,63.99
M00436,63.99
M00405,63.99
M00154,137.59
0725466558,119.99
M01077,9.99
M00209,111.99
0713104032,499.99
M00654,14.99
M00376,21.99
