sku,price
xxx,199.99
xxx,259.99
xxx,179.99
xxx,239.99
xxx,259.99
xxx,279.99
0713040245,79.99
VDTS-3774,59.99
VDTS-2249,26.99
VDTS-3773,59.99
0713633211,119.99
0713633212,119.99
DI4237,119.99
DI4238,119.99
DI3241,84.99 
DI3284,32.99 
DI3287,39.99 
0713869670,99.99 
721725430,22.99 
721725429,29.99 
M01190,134.99
M01208,129.99
M01207,109.99
M00504,1 349.99
C00056,629.99
M00849,332.99
M00902,329.99
M00800,269.99
M00026,124.99
M00027,154.99
M00949,174.99
M00955,196.99
M00946,230.99
M01161,74.99
M01162,74.99
M01163,74.99
M01165,139.99
M01167,139.99
M01168,139.99
M01166,139.99
M01169,139.99
M00852,74.99
M00987,204.99
M00008,66.99
M00007,66.99
M00009,66.99
M00010,66.99
M00005,66.99
M01220,129.99
M01221,129.99
M01224,84.99
M01223,89.99
IM712017954,24.99
IM712017955,24.99
IM712017956,24.99
IM712017957,24.99
IM712017958,28.99
IM712017960,39.99
IM712017961,45.99
CF141188,64.99
xxx,379.99 
xxx,579.99 
xxx,595.99 
xxx,444.99 
xxx,475.99 
xxx,587.99 
xxx,604.99 
xxx,635.99 
M01234,555.99
M01233,539.99
M00255,70.99 
M00256,174.99 
M00257,182.99 
M00259,302.99 
M00260,310.99 
M00261,422.99 
M00418,32.99
M00402,44.99
M00423,49.99
M00406,55.99
M00454,59.99
M00455,39.99
M00456,44.99
M00458,59.99
M00457,49.99
M00446,174.99
M00420,69.99
M00463,79.99
M00376,19.99
M00377,24.99
M00380,29.99
VDTS-2931,64.99
MI2833,74.99
0713786312,34.99
0722259103,69.99
0713142717,49.99
