sku,price
M01320,3.99
0713623269,29.99
0713623244,119.99
0713623242,119.99
0713623243,119.99
0712951797,119.99
M01312,229.99
M01311,229.99
M01310,229.99
M01300,27.99
M01277,119.99
M01299,549.99
M01240,149.99
M01197,2799.99
M01192,74.99
M01027,124.99
M01008,29.99
M01004,23.99
M00962,22.99
M00945,13.99
M01241,749.99
M00812,59.99
M00961,44.99
M00715,38.99
M01335,179.99
M01298,174.99
M01297,174.99
M01287,174.99
M01285,174.99
M01284,174.99
M01283,94.99
M01282,94.99
M01281,94.99
M01280,94.99
M01279,94.99
M01266,124.99
M00821,9.99
M00464,34.99
0725467735,269.99
DI4432,199.99
0712550793,199.99
DI2770,199.99
DI4451,239.99
0712001297,239.99
DI4469,199.99
DI4387,199.99
DI4320,239.99
DI4570,219.99
0712116303,149.99
DI3461,9.99
MI14794,4.99
M01161,74.99
M01162,74.99
M01163,74.99
M01155,74.99
M01151,74.99
M01170,74.99
M01165,139.99
M01167,139.99
M01168,139.99
M01166,139.99
M01169,139.99
